print_fmt	converter_support	tracequery_lane
PRINT_FMT_IRQ_HANDLER_ENTRY	strong	irq
PRINT_FMT_IRQ_HANDLER_EXIT	strong	irq
PRINT_FMT_SOFTIRQ_ENTRY_EXIT	strong	softirq
PRINT_FMT_SCHED_WAKEUP_HM	strong	sched_wakeup
PRINT_FMT_SCHED_WAKEUP	strong	sched_wakeup
PRINT_FMT_SCHED_SWITCH_HM	strong	sched_switch
PRINT_FMT_SCHED_SWITCH_HM_NEW	strong	sched_switch
PRINT_FMT_SCHED_SWITCH_HM_NINFO_CG	strong	sched_switch
PRINT_FMT_SCHED_SWITCH	strong	sched_switch
PRINT_FMT_SCHED_BLOCKED_REASON_HM_OLD	strong	sched_blocked_reason
PRINT_FMT_SCHED_BLOCKED_REASON_HM	strong	sched_blocked_reason
PRINT_FMT_SCHED_BLOCKED_REASON	strong	sched_blocked_reason
PRINT_FMT_CPU_FREQUENCY_HM	strong	cpu_frequency
PRINT_FMT_CPU_FREQUENCY	strong	cpu_frequency
PRINT_FMT_CLOCK_SET_RATE_POWER_HM	strong	clock_set_rate
PRINT_FMT_CLOCK_SET_RATE_POWERKERNEL_HM	strong	clock_set_rate
PRINT_FMT_CLOCK_SET_RATE	strong	clock_set_rate
PRINT_FMT_CPU_FREQUENCY_LIMITS_HM	strong	cpu_frequency_limits
PRINT_FMT_CPU_FREQUENCY_LIMITS_HM_2	strong	cpu_frequency_limits
PRINT_FMT_CPU_FREQUENCY_LIMITS	strong	cpu_frequency_limits
PRINT_FMT_CPU_IDLE_HM	strong	cpu_idle
PRINT_FMT_CPU_IDLE	strong	cpu_idle
PRINT_FMT_EXT4_DA_WRITE_BEGIN	strong	filesystem
PRINT_FMT_EXT4_DA_WRITE_END	strong	filesystem
PRINT_FMT_EXT4_SYNC_FILE_ENTER	strong	filesystem
PRINT_FMT_EXT4_SYNC_FILE_EXIT	strong	filesystem
PRINT_FMT_BLOCK_BIO_REMAP	strong	block_bio_remap
PRINT_FMT_BLOCK_BIO_REMAP_NEW	strong	block_bio_remap
PRINT_FMT_BLOCK_RQ_ISSUE_HM	strong	block_rq_issue
PRINT_FMT_BLOCK_RQ_ISSUE_OR_INSERT	strong	block_rq_issue
PRINT_FMT_BLOCK_RQ_COMPLETE_HM	strong	block_rq_complete
PRINT_FMT_BLOCK_RQ_COMPLETE	strong	block_rq_complete
PRINT_FMT_UFSHCD_COMMAND_HM	strong	storage
PRINT_FMT_UFSHCD_COMMAND	strong	storage
PRINT_FMT_UFSHCD_UPIU	strong	storage
PRINT_FMT_UFSHCD_UIC_COMMAND	strong	storage
PRINT_FMT_UFSHCD_FUNCS	strong	storage
PRINT_FMT_UFSHCD_PROFILE_FUNCS	strong	storage
PRINT_FMT_UFSHCD_AUTO_BKOPS_STATE	strong	storage
PRINT_FMT_UFSHCD_CLK_SCALING	strong	storage
PRINT_FMT_UFSHCD_CLK_GATING	strong	storage
PRINT_FMT_I2C_READ	strong	storage
PRINT_FMT_I2C_WRITE_OR_REPLY	strong	storage
PRINT_FMT_I2C_RESULT	strong	storage
PRINT_FMT_SMBUS_READ	strong	storage
PRINT_FMT_SMBUS_WRITE_OR_REPLY	strong	storage
PRINT_FMT_SMBUS_RESULT	strong	storage
PRINT_FMT_REGULATOR_SET_VOLTAGE_COMPLETE	strong	power
PRINT_FMT_REGULATOR_SET_VOLTAGE	strong	power
PRINT_FMT_REGULATOR_FUNCS	strong	power
PRINT_FMT_DMA_FENCE_FUNCS	strong	dma_fence
PRINT_FMT_BINDER_TRANSACTION	strong	binder_transaction
PRINT_FMT_BINDER_TRANSACTION_RECEIVED	strong	binder_transaction_received
PRINT_FMT_MMC_REQUEST_START	strong	storage
PRINT_FMT_MMC_REQUEST_DONE	strong	storage
PRINT_FMT_FILE_CHECK_AND_ADVANCE_WB_ERR	strong	filesystem
PRINT_FMT_FILEMAP_SET_WB_ERR	strong	filesystem
PRINT_FMT_MM_FILEMAP_ADD_OR_DELETE_PAGE_CACHE	strong	memory
PRINT_FMT_MM_FILEMAP_ADD_OR_DELETE_PAGE_CACHE_NEW	strong	memory
PRINT_FMT_RSS_STAT_HM	strong	memory
